# BUSCO version is: 5.2.1 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
184717at33208	Duplicated	TRINITY_DN615_c0_g1_i7:121-1863	912.8	502
186208at33208	Duplicated	TRINITY_DN7383_c0_g2_i2:857-3844	1171.0	711
186208at33208	Duplicated	TRINITY_DN7383_c0_g2_i3:857-3844	1171.0	711
186707at33208	Duplicated	TRINITY_DN118_c1_g1_i1:64-2100	419.0	491
186707at33208	Duplicated	TRINITY_DN118_c1_g1_i3:64-2100	419.0	491
187280at33208	Duplicated	TRINITY_DN812_c0_g1_i3:26-2197	631.5	498
187280at33208	Duplicated	TRINITY_DN812_c0_g1_i2:26-2197	630.0	497
187280at33208	Duplicated	TRINITY_DN812_c0_g1_i4:26-2197	630.0	497
189414at33208	Duplicated	TRINITY_DN1566_c0_g1_i5:280-2493	559.9	547
189414at33208	Duplicated	TRINITY_DN1566_c0_g1_i2:109-2511	550.7	570
190726at33208	Duplicated	TRINITY_DN1664_c0_g1_i1:155-1747	575.7	411
190726at33208	Duplicated	TRINITY_DN1664_c0_g1_i2:155-1747	575.7	411
190726at33208	Duplicated	TRINITY_DN1664_c0_g2_i3:61-1653	575.7	411
191938at33208	Duplicated	TRINITY_DN9036_c0_g1_i1:78-2066	454.0	443
191938at33208	Duplicated	TRINITY_DN9036_c0_g1_i2:78-2066	454.0	443
192250at33208	Complete	TRINITY_DN7453_c0_g1_i2:243-1736	359.4	238
194754at33208	Duplicated	TRINITY_DN3184_c0_g1_i1:117-2870	1034.3	773
194754at33208	Duplicated	TRINITY_DN3184_c0_g1_i4:117-2870	1034.3	773
195986at33208	Complete	TRINITY_DN2791_c0_g1_i1:97-2532	891.9	597
196950at33208	Duplicated	TRINITY_DN1379_c0_g1_i8:106-2889	751.0	732
196950at33208	Duplicated	TRINITY_DN1379_c0_g1_i3:106-2889	750.2	735
196950at33208	Duplicated	TRINITY_DN1379_c0_g1_i2:106-1944	638.9	528
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i9:91-1983	254.9	471
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i7:91-1815	254.6	406
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i4:91-1983	254.2	471
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i6:91-1995	254.2	471
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i5:91-1983	254.2	482
197549at33208	Duplicated	TRINITY_DN1332_c0_g1_i3:91-1938	253.2	408
197652at33208	Duplicated	TRINITY_DN3983_c0_g1_i13:64-1602	728.5	450
197652at33208	Duplicated	TRINITY_DN3983_c0_g1_i2:45-1779	728.5	450
197652at33208	Duplicated	TRINITY_DN3983_c0_g1_i4:84-1622	728.5	450
197652at33208	Duplicated	TRINITY_DN3983_c0_g1_i9:84-1622	728.5	450
200997at33208	Duplicated	TRINITY_DN2729_c0_g1_i3:191-1879	610.8	495
200997at33208	Duplicated	TRINITY_DN2729_c0_g1_i4:191-1879	610.8	495
200997at33208	Duplicated	TRINITY_DN2729_c0_g1_i8:191-1879	610.8	495
201397at33208	Complete	TRINITY_DN9311_c0_g1_i1:100-2148	676.4	480
202545at33208	Duplicated	TRINITY_DN8839_c0_g1_i13:50-1777	348.6	368
202545at33208	Duplicated	TRINITY_DN8839_c0_g1_i2:50-1777	348.6	368
202545at33208	Duplicated	TRINITY_DN8839_c0_g1_i15:50-1786	329.2	363
202545at33208	Duplicated	TRINITY_DN8839_c0_g1_i3:50-1786	329.2	363
203128at33208	Duplicated	TRINITY_DN3050_c0_g1_i1:529-2037	869.2	438
203128at33208	Duplicated	TRINITY_DN3050_c0_g1_i2:527-2035	869.2	438
203128at33208	Duplicated	TRINITY_DN3050_c0_g1_i8:484-1992	869.2	438
203128at33208	Duplicated	TRINITY_DN3050_c0_g1_i9:528-2036	869.2	438
203698at33208	Duplicated	TRINITY_DN3605_c0_g1_i1:70-3480	1030.4	751
203698at33208	Duplicated	TRINITY_DN3605_c0_g1_i2:417-3038	1008.5	674
205220at33208	Duplicated	TRINITY_DN6111_c0_g1_i1:568-2937	963.8	645
205220at33208	Duplicated	TRINITY_DN6111_c0_g1_i2:660-3029	963.8	645
206786at33208	Duplicated	TRINITY_DN27322_c0_g1_i1:63-1532	509.2	381
206786at33208	Duplicated	TRINITY_DN27322_c0_g1_i2:103-1572	509.2	381
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i10:8-2035	588.9	508
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i16:8-2035	588.9	508
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i17:8-2035	588.9	508
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i3:8-2035	588.9	508
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i4:8-2035	588.9	508
206858at33208	Duplicated	TRINITY_DN1850_c0_g1_i9:8-2035	588.9	508
207599at33208	Duplicated	TRINITY_DN4929_c0_g1_i3:500-2491	474.9	378
207599at33208	Duplicated	TRINITY_DN4929_c0_g1_i5:501-2492	474.9	378
208219at33208	Complete	TRINITY_DN4089_c0_g1_i1:112-1752	415.6	441
210614at33208	Duplicated	TRINITY_DN16559_c0_g1_i3:504-3143	636.9	694
210614at33208	Duplicated	TRINITY_DN16559_c0_g1_i5:450-3089	636.9	694
210614at33208	Duplicated	TRINITY_DN16559_c0_g1_i9:504-3143	636.9	694
210614at33208	Duplicated	TRINITY_DN16559_c0_g1_i6:204-2843	636.8	694
212972at33208	Duplicated	TRINITY_DN4022_c0_g1_i1:277-2040	673.0	501
212972at33208	Duplicated	TRINITY_DN4022_c0_g1_i3:277-2040	673.0	501
214788at33208	Duplicated	TRINITY_DN2933_c0_g1_i1:81-1970	652.9	525
214788at33208	Duplicated	TRINITY_DN2933_c0_g1_i5:81-1970	652.9	525
214788at33208	Duplicated	TRINITY_DN2933_c0_g1_i4:84-1961	650.3	525
215654at33208	Duplicated	TRINITY_DN1768_c0_g1_i11:417-1919	575.9	405
215654at33208	Duplicated	TRINITY_DN1768_c0_g1_i13:427-1929	575.9	405
215654at33208	Duplicated	TRINITY_DN1768_c0_g1_i1:427-1929	575.9	405
216257at33208	Duplicated	TRINITY_DN4563_c0_g1_i1:172-1656	343.1	330
216257at33208	Duplicated	TRINITY_DN4563_c0_g1_i2:172-1656	343.1	330
216563at33208	Duplicated	TRINITY_DN7998_c0_g1_i6:899-2479	258.7	275
216563at33208	Duplicated	TRINITY_DN7998_c0_g1_i4:899-2479	258.7	275
218441at33208	Duplicated	TRINITY_DN8020_c0_g1_i12:71-1138	225.2	259
218441at33208	Duplicated	TRINITY_DN8020_c0_g1_i2:71-1138	224.0	259
218441at33208	Duplicated	TRINITY_DN8020_c0_g1_i4:71-1138	224.0	259
219795at33208	Complete	TRINITY_DN892_c0_g1_i1:123-2174	510.2	532
219856at33208	Complete	TRINITY_DN4374_c0_g1_i9:373-1761	657.8	394
222489at33208	Duplicated	TRINITY_DN1627_c0_g1_i2:189-1730	669.9	360
222489at33208	Duplicated	TRINITY_DN1627_c0_g1_i3:189-1730	669.9	360
223234at33208	Duplicated	TRINITY_DN14332_c0_g1_i3:112-1575	275.5	342
223234at33208	Duplicated	TRINITY_DN14332_c0_g1_i1:112-1586	275.5	342
224280at33208	Complete	TRINITY_DN287_c1_g1_i1:78-1592	808.3	439
226335at33208	Complete	TRINITY_DN38787_c0_g1_i1:376-1680	580.5	362
226941at33208	Duplicated	TRINITY_DN5579_c0_g1_i3:234-1712	621.0	401
226941at33208	Duplicated	TRINITY_DN5579_c0_g1_i6:194-1672	621.0	401
226941at33208	Duplicated	TRINITY_DN5579_c0_g1_i5:234-1706	608.1	397
227087at33208	Duplicated	TRINITY_DN6448_c0_g1_i1:108-2855	872.4	743
227087at33208	Duplicated	TRINITY_DN6448_c0_g1_i2:108-2855	871.8	743
227087at33208	Duplicated	TRINITY_DN6448_c0_g1_i4:108-2855	871.8	743
227087at33208	Duplicated	TRINITY_DN6448_c0_g1_i6:108-2855	871.8	743
227453at33208	Duplicated	TRINITY_DN5569_c0_g1_i1:677-2341	488.3	435
227453at33208	Duplicated	TRINITY_DN5569_c0_g1_i2:672-2336	488.3	435
227979at33208	Complete	TRINITY_DN1850_c1_g1_i6:94-2214	931.4	599
231157at33208	Duplicated	TRINITY_DN3673_c0_g1_i10:53-1690	568.5	430
231157at33208	Duplicated	TRINITY_DN3673_c0_g1_i6:53-1690	568.5	430
231700at33208	Duplicated	TRINITY_DN6133_c0_g1_i8:119-3109	356.8	560
231700at33208	Duplicated	TRINITY_DN6133_c0_g1_i11:119-3112	356.6	559
231700at33208	Duplicated	TRINITY_DN6133_c0_g1_i12:119-3109	355.1	560
234290at33208	Duplicated	TRINITY_DN46809_c0_g1_i1:1061-2077	384.4	278
234290at33208	Duplicated	TRINITY_DN46809_c0_g1_i2:250-1260	381.2	276
235149at33208	Duplicated	TRINITY_DN2235_c0_g1_i2:103-1950	377.3	456
235149at33208	Duplicated	TRINITY_DN2235_c0_g1_i1:103-1950	376.8	456
235430at33208	Duplicated	TRINITY_DN2795_c0_g1_i10:496-2037	386.0	349
235430at33208	Duplicated	TRINITY_DN2795_c0_g1_i14:496-2037	386.0	349
235430at33208	Duplicated	TRINITY_DN2795_c0_g1_i4:496-2037	386.0	349
235430at33208	Duplicated	TRINITY_DN2795_c0_g1_i13:496-2037	384.8	349
235430at33208	Duplicated	TRINITY_DN2795_c0_g1_i5:496-2037	384.8	349
235458at33208	Duplicated	TRINITY_DN10010_c0_g1_i2:106-2001	415.1	373
235458at33208	Duplicated	TRINITY_DN10010_c0_g1_i5:106-2001	415.0	374
235458at33208	Duplicated	TRINITY_DN10010_c0_g1_i6:106-2001	414.8	366
235458at33208	Duplicated	TRINITY_DN10010_c0_g1_i1:106-1794	383.5	337
239016at33208	Duplicated	TRINITY_DN5147_c0_g1_i2:823-2523	419.6	405
239016at33208	Duplicated	TRINITY_DN5147_c0_g1_i6:823-2523	419.6	405
239016at33208	Duplicated	TRINITY_DN5147_c0_g1_i8:823-2523	419.6	405
239149at33208	Missing
239597at33208	Duplicated	TRINITY_DN2685_c0_g1_i1:155-2209	500.8	524
239597at33208	Duplicated	TRINITY_DN2685_c0_g1_i2:155-2209	500.8	524
239597at33208	Duplicated	TRINITY_DN2685_c0_g1_i5:155-2209	498.4	524
240437at33208	Duplicated	TRINITY_DN2067_c0_g1_i1:399-1316	432.2	248
